300,79,90
301,52,174
302,37,58
303,93,69
304,23,192
305,35,139
306,100,56
307,76,151
308,35,87
309,62,43
310,99,57
311,85,107
312,50,196
313,79,171
314,50,70
315,87,88
316,57,157
317,22,112
318,78,141
319,91,179
320,74,137
321,81,38
322,79,152
323,74,196
324,96,144
325,15,150
326,29,140
327,73,115
328,12,124
329,100,101
330,15,200
331,25,161
332,21,156
333,54,151
334,17,31
335,19,157
336,14,143
337,96,124
338,22,171
339,20,120
340,49,178
341,18,175
342,78,89
343,74,116
344,82,167
345,61,100
346,48,173
347,8,170
348,41,194
349,75,117
350,2,137
351,39,130
352,80,129
353,24,144
354,95,74
355,87,43
356,99,88
357,69,140
358,91,117
359,39,88
360,47,142
361,85,108
362,32,37
363,68,106
364,25,128
365,49,163
366,30,73
367,22,68
368,17,161
369,13,30
370,15,50
371,61,96
372,55,81
373,2,88
374,60,80
375,38,133
376,37,197
377,91,77
378,92,127
379,45,56
380,98,198
381,95,71
382,99,48
383,13,166
384,2,93
385,23,64
386,16,140
387,96,144
388,72,111
389,23,48
390,51,124
391,64,181
392,42,139
393,94,174
394,49,46
395,47,34
396,7,200
397,75,152
398,68,190
399,55,56
400,61,115
401,26,50
402,76,71
403,24,104
404,9,157
405,93,45
406,27,30
407,99,81
408,38,65
409,58,163
410,51,153
411,35,87
412,26,186
413,71,162
414,99,83
415,49,94
416,15,154
417,66,121
418,1,160
419,13,71
420,42,146
421,39,60
422,86,98
423,28,176
424,30,128
425,87,95
426,47,137
427,20,133
428,77,171
429,8,160
430,89,184
431,30,43
432,39,87
433,56,164
434,55,59
435,18,103
436,25,194
437,95,132
438,58,107
439,90,51
440,28,43
441,36,183
442,40,136
443,38,59
444,40,171
445,61,59
446,77,50
447,27,190
448,24,178
449,1,188
450,97,143
451,10,198
452,61,194
453,68,84
454,88,192
455,16,46
456,7,163
457,16,120
458,15,93
459,33,101
460,78,162
461,89,176
462,77,99
463,13,87
464,47,102
465,44,144
466,80,95
467,82,181
468,99,43
469,91,168
470,65,193
471,24,150
472,74,156
473,9,190
474,100,168
475,70,112
476,28,49
477,59,36
478,67,149
479,93,126
480,59,190
481,97,66
482,26,42
483,23,44
484,82,181
485,40,76
486,11,37
487,59,102
488,26,147
489,4,166
490,96,90
491,20,94
492,89,125
493,34,80
494,94,136
495,7,98
496,58,151
497,8,116
498,41,109
499,44,178
500,58,143
501,3,85
502,50,148
503,27,164
504,29,168
505,92,81
506,51,179
507,64,194
508,92,149
509,58,142
510,82,112
511,6,88
512,67,152
513,32,176
514,23,153
515,88,102
516,28,57
517,5,48
518,28,182
519,76,109
520,98,63
521,72,69
522,46,200
523,60,68
524,100,144
525,57,141
526,66,196
527,41,150
528,1,101
529,24,178
530,44,52
531,42,166
532,97,72
533,7,150
534,7,154
535,96,170
536,70,107
537,54,79
538,31,102
539,28,67
540,58,141
541,23,93
542,56,102
543,12,77
544,56,64
545,27,76
546,1,69
547,94,51
548,53,54
549,23,98
550,70,154
551,3,79
552,84,88
553,54,177
554,87,108
555,35,92
556,27,67
557,87,165
558,64,146
559,11,41
560,98,176
561,42,186
562,40,30
563,44,104
564,19,159
565,30,185
566,85,59
567,6,71
568,84,54
569,26,189
570,38,151
571,51,127
572,14,164
573,54,72
574,77,32
575,26,183
576,49,175
577,12,96
578,41,194
579,39,133
580,92,56
581,35,97
582,64,67
583,9,112
584,39,171
585,64,64
586,9,90
587,69,112
588,100,44
589,43,39
590,21,30
591,32,133
592,63,131
593,38,45
594,98,179
595,19,90
596,43,56
597,65,181
598,37,196
599,70,173
600,31,61
601,46,83
602,39,150
603,14,67
604,75,184
605,74,42
606,95,62
607,52,72
608,59,91
609,22,114
610,80,107
611,43,87
612,61,42
613,44,128
614,78,39
615,94,108
616,9,100
617,81,185
618,46,38
619,66,86
620,24,195
621,72,190
622,23,98
623,33,48
624,21,67
625,19,72
626,57,60
627,34,175
628,24,89
629,54,193
630,60,154
631,86,43
632,41,40
633,48,184
634,23,51
635,43,58
636,1,84
637,64,97
638,9,67
639,35,167
640,93,97
641,32,37
642,42,101
643,41,33
644,54,149
645,48,160
646,37,160
647,44,91
648,15,127
649,40,123
650,73,143
651,77,155
652,82,165
653,19,114
654,5,166
655,55,66
656,21,134
657,32,109
658,40,75
659,29,50
660,94,47
661,55,156
662,63,66
663,14,145
664,76,144
665,72,199
666,18,200
667,16,175
668,29,178
669,37,191
670,98,185
671,82,80
672,12,91
673,98,195
674,85,123
675,11,86
676,26,200
677,85,93
678,4,125
679,29,88
680,39,174
681,38,132
682,94,40
683,28,48
684,28,109
685,88,70
686,56,42
687,20,145
688,74,192
689,29,82
690,53,136
691,55,110
692,83,136
693,68,192
694,76,43
695,13,87
696,26,80
697,92,52
698,98,186
699,51,133
