9655,1,1424,247
20175,2,910,241
18116,3,1324,353
7101,4,969,325
8983,5,1365,387
19268,6,1246,282
16749,7,1841,285
15065,8,1224,274
22722,9,1705,410
17106,10,693,459
16620,11,1049,321
11891,12,761,118
10196,13,775,313
16570,14,667,473
10628,15,833,146
7389,16,611,138
15074,17,1215,274
12892,18,700,432
22812,19,585,202
20256,20,651,494
16163,21,1911,301
8943,22,549,457
8465,23,1464,338
21155,24,839,486
7318,25,1093,487
10786,26,1844,474
22189,27,948,470
19231,28,1029,384
23499,29,1409,352
9828,30,1480,323
11701,31,1351,379
6613,32,1603,197
17750,33,1143,335
6820,34,1716,393
23871,35,608,479
10145,36,906,373
20434,37,2000,125
11416,38,1016,143
22124,39,678,490
16919,40,619,226
21111,41,803,158
18933,42,1136,416
12999,43,571,423
8212,44,1704,489
11229,45,1620,440
15123,46,1719,311
10282,47,1543,413
22512,48,865,383
22603,49,1876,479
14758,50,1350,265
18940,51,500,353
16150,52,603,193
15621,53,1743,418
11190,54,809,196
16286,55,1827,449
8448,56,1044,457
19458,57,1449,494
10876,58,1776,118
10889,59,1048,218
23061,60,824,295
15881,61,545,184
21279,62,1989,409
11930,63,1142,299
18781,64,719,331
5906,65,1213,167
11811,66,1261,299
16935,67,813,293
22235,68,764,168
11480,69,1255,471
13892,70,1681,180
9304,71,1639,190
23001,72,923,488
19693,73,1051,220
20093,74,875,124
10130,75,813,190
22507,76,629,401
20727,77,865,263
12774,78,1712,116
11518,79,1669,222
7496,80,784,466
15735,81,1803,226
22243,82,1972,319
6863,83,1548,487
9187,84,674,171
9806,85,1353,144
15421,86,1984,230
19778,87,1739,238
16174,88,1625,459
21994,89,772,366
17357,90,810,312
17765,91,825,285
15452,92,1889,428
18886,93,1768,236
14179,94,1394,180
20215,95,1001,291
20818,96,774,263
13852,97,1190,386
6590,98,810,435
19941,99,761,452
23433,100,813,397
17098,101,885,198
22890,102,563,359
20142,103,1270,396
12088,104,641,244
20435,105,1082,238
10316,106,1547,290
11419,107,866,438
9317,108,701,304
19416,109,1869,261
18192,110,1621,225
23094,111,696,131
15803,112,1412,179
17915,113,1789,232
6715,114,1337,248
5921,115,1177,242
19862,116,792,236
17676,117,677,342
10736,118,1263,196
23885,119,608,127
20114,120,1465,200
21653,121,1522,298
8462,122,1556,304
13084,123,1926,468
17105,124,1788,335
18480,125,1574,415
23333,126,913,397
14111,127,1027,104
6268,128,938,155
19842,129,1737,200
13811,130,786,430
17236,131,1117,342
21566,132,1236,490
18380,133,810,142
18140,134,1673,225
23562,135,1416,257
20459,136,509,124
22738,137,1769,134
6092,138,1604,279
11233,139,1398,109
5899,140,1307,155
16454,141,728,253
15996,142,1248,314
20797,143,538,209
7107,144,1621,404
9278,145,1715,181
18929,146,1125,415
21451,147,1152,187
17086,148,1625,320
12186,149,537,436
14794,150,1959,193
18795,151,1717,235
11078,152,1771,440
7133,153,1375,239
17818,154,1465,262
16057,155,938,318
18714,156,732,306
14963,157,1790,193
6408,158,1227,346
18713,159,1375,206
9965,160,1028,181
21696,161,1014,252
8496,162,715,349
13202,163,1472,174
11050,164,1673,436
11348,165,1387,471
20173,166,780,176
7041,167,1417,208
22248,168,1967,319
20623,169,1461,278
7959,170,1306,149
19192,171,1510,452
21453,172,1487,467
16525,173,1919,164
20299,174,608,494
19469,175,705,251
15931,176,1476,371
19778,177,610,475
8832,178,1355,339
17381,179,1614,406
